original_name,pooled,phenotype,outlier
M1_01,False,MN,False
M1_02,False,MN,False
M1_03,False,MN,False
M1_04,False,MN,False
M1_05,False,MN,False
M1_06,False,MN,False
M1_07,False,MN,False
M1_08,False,MN,False
M1_09,False,MN,False
M1_10,False,MN,False
M1_11,False,MN,False
M1_12,False,MN,False
M2_01,False,MN,False
M2_02,False,MN,False
M2_03,False,MN,False
M2_04,False,MN,False
M2_05,True,MN,False
M2_06,False,MN,False
M2_07,False,MN,False
M2_08,False,MN,False
M2_09,False,MN,False
M2_10,False,MN,False
M2_11,False,MN,False
M2_12,False,MN,False
M2nd_01,False,MN,False
M2nd_02,False,MN,False
M2nd_03,False,MN,False
M2nd_04,False,MN,False
M2nd_05,False,MN,False
M2nd_06,False,MN,False
M2nd_07,False,MN,False
M2nd_08,False,MN,False
M2nd_09,False,MN,False
M2nd_10,False,MN,False
M2nd_11,False,MN,False
M2nd_12,False,MN,False
M2nd_13,True,MN,False
M2nd_14,False,MN,False
M2nd_15,False,MN,False
M2nd_16,False,MN,False
M2nd_17,False,MN,False
M2nd_18,False,MN,False
M2nd_19,False,MN,False
M2nd_20,False,MN,False
M2nd_21,True,MN,False
M2nd_22,False,MN,False
M2nd_23,False,MN,False
M2nd_24,False,MN,False
M2nd_25,False,MN,False
M2nd_26,False,MN,False
M2nd_27,False,MN,False
M2nd_28,False,MN,False
M2nd_29,False,MN,False
M2nd_30,False,MN,False
M2nd_31,False,MN,False
M2nd_32,False,MN,False
M2nd_33,True,iPSC,False
M2nd_34,True,iPSC,False
M3_1,False,MN,False
M3_10,False,MN,False
M3_11,False,MN,False
M3_12,False,MN,False
M3_13,False,MN,False
M3_14,False,MN,False
M3_2,False,MN,False
M3_3,False,MN,False
M3_4,False,MN,False
M3_5,False,MN,False
M3_6,False,MN,False
M3_7,False,MN,False
M3_8,False,MN,False
M3_9,False,MN,False
M4_1,False,MN,False
M4_10,False,MN,False
M4_11,False,MN,False
M4_12,False,MN,False
M4_13,False,MN,False
M4_14,False,MN,False
M4_2,False,MN,False
M4_3,False,MN,False
M4_4,False,MN,False
M4_5,False,MN,False
M4_6,False,MN,False
M4_7,False,MN,False
M4_8,False,MN,False
M4_9,False,MN,False
M6_1,False,MN,False
M6_2,False,MN,False
M6_3,False,MN,False
M6_4,False,MN,False
M6_5,False,MN,False
M6_6,False,MN,False
M6_7,False,MN,False
CVN_01,False,NPC,False
CVN_02,False,NPC,False
CVN_03,False,NPC,False
CVN_04,False,NPC,False
CVN_05,False,NPC,False
CVN_06,False,NPC,False
CVN_07,False,NPC,False
CVN_08,False,NPC,False
CVN_09,False,NPC,False
CVN_10,False,NPC,False
CVN_11,False,NPC,False
CVN_12,False,NPC,False
CVN_13,False,NPC,False
CVN_14,False,NPC,False
CVN_15,False,NPC,False
CVN_16,False,NPC,False
CVN_17,True,NPC,False
CVN_18,False,NPC,False
CVN_19,False,NPC,False
CVN_20,False,NPC,False
CVN_21,False,NPC,False
CVN_22,False,NPC,False
CVN_23,False,NPC,False
CVN_24,False,NPC,False
CVN_25,False,NPC,False
CVN_26,False,NPC,False
CVN_27,False,NPC,False
CVN_28,False,NPC,False
CVN_29,False,NPC,False
CVN_30,False,NPC,False
CVN_31,False,NPC,False
CVN_32,False,NPC,False
CVN_33,False,NPC,False
CVN_34,False,NPC,False
CVN_35,True,NPC,False
N1_01,False,NPC,False
N1_02,False,NPC,False
N1_03,False,NPC,False
N1_04,False,NPC,False
N1_05,False,NPC,False
N1_06,False,NPC,False
N1_07,False,NPC,False
N1_08,False,NPC,False
N1_09,False,NPC,False
N1_10,False,NPC,False
N1_11,False,NPC,False
N1_12,False,NPC,False
N2_01,False,NPC,False
N2_02,False,NPC,False
N2_04,False,NPC,False
N2_05,False,NPC,False
N2_07,False,NPC,False
N2_08,False,NPC,False
N2_09,False,NPC,False
N2_10,False,NPC,False
N2_11,False,NPC,False
N2_12,False,NPC,False
N3_01,False,NPC,False
N3_02,False,NPC,False
N3_03,False,NPC,False
N3_04,False,NPC,False
N3_05,False,NPC,False
N3_06,False,NPC,False
N3_07,False,NPC,False
N3_09,False,NPC,False
N3_10,False,NPC,False
N3_11,False,NPC,False
N3_12,False,NPC,False
N4_1,False,NPC,False
N4_10,False,NPC,False
N4_11,False,NPC,False
N4_12,False,NPC,False
N4_13,False,NPC,False
N4_14,False,NPC,False
N4_2,False,NPC,False
N4_3,False,NPC,False
N4_4,False,NPC,False
N4_5,False,NPC,False
N4_6,False,NPC,False
N4_7,False,NPC,False
N4_8,False,NPC,False
N4_9,False,NPC,False
N5_1,False,NPC,False
N5_10,False,NPC,False
N5_11,False,NPC,False
N5_12,False,NPC,False
N5_13,False,NPC,False
N5_14,False,NPC,False
N5_2,False,NPC,False
N5_3,False,NPC,False
N5_4,False,NPC,False
N5_5,False,NPC,False
N5_6,False,NPC,False
N5_7,False,NPC,False
N5_8,False,NPC,False
N5_9,False,NPC,False
P1_01,False,iPSC,False
P1_02,False,iPSC,False
P1_03,False,iPSC,False
P1_04,False,iPSC,False
P1_05,False,iPSC,False
P1_06,False,iPSC,False
P1_07,False,iPSC,False
P1_08,False,iPSC,False
P1_09,False,iPSC,False
P1_10,False,iPSC,False
P1_11,False,iPSC,False
P1_12,False,iPSC,False
P2_01,False,iPSC,False
P2_02,False,iPSC,False
P2_03,False,iPSC,False
P2_04,False,iPSC,False
P2_05,False,iPSC,False
P2_06,False,iPSC,False
P2_07,False,iPSC,False
P2_08,False,iPSC,False
P2_09,False,iPSC,False
P2_10,False,iPSC,False
P2_11,False,iPSC,False
P2_12,False,iPSC,False
P2_13,False,iPSC,False
P2_14,False,iPSC,False
P3_01,False,iPSC,False
P3_02,False,iPSC,False
P3_03,False,iPSC,False
P4_1,False,iPSC,False
P4_10,False,iPSC,False
P4_11,False,iPSC,False
P4_12,False,iPSC,False
P4_13,False,iPSC,False
P4_14,False,iPSC,False
P4_2,False,iPSC,False
P4_3,False,iPSC,False
P4_4,False,iPSC,False
P4_5,False,iPSC,False
P4_6,False,iPSC,False
P4_7,False,iPSC,False
P4_8,False,iPSC,False
P4_9,False,iPSC,False
P7_1,False,iPSC,False
P7_10,False,iPSC,False
P7_11,False,iPSC,False
P7_12,False,iPSC,False
P7_3,False,iPSC,False
P7_4,False,iPSC,False
P7_5,False,iPSC,False
P7_6,False,iPSC,False
P7_7,False,iPSC,False
P7_9,False,iPSC,False
P8_1,False,iPSC,False
P8_10,False,iPSC,False
P8_11,False,iPSC,False
P8_12,False,iPSC,False
P8_2,False,iPSC,False
P8_3,False,iPSC,False
P8_4,False,iPSC,False
P8_5,False,iPSC,False
P8_6,False,iPSC,False
P8_7,False,iPSC,False
P8_8,False,iPSC,False
P8_9,False,iPSC,False
P9_1,False,iPSC,False
P9_2,False,iPSC,False
P9_3,False,iPSC,False
P9_4,False,iPSC,False
MSA_01,False,sMN,False
MSA_02,False,sMN,False
MSA_03,False,sMN,False
MSA_04,False,sMN,False
MSA_05,False,sMN,False
MSA_06,False,sMN,False
MSA_07,False,sMN,False
MSA_08,False,sMN,False
MSA_09,False,sMN,False
MSA_10,False,sMN,False
MSA_11,False,sMN,False
MSA_12,False,sMN,False
MSA_13,False,sMN,False
MSA_14,False,sMN,False
MSA_15,False,sMN,False
MSA_16,False,sMN,False
MSA_17,False,sMN,False
MSA_18,False,sMN,False
MSA_19,True,sMN,False
MSA_20,False,sMN,False
MSA_21,False,sMN,False
MSA_22,False,sMN,False
MSA_23,False,sMN,False
MSA_24,False,sMN,False
MSA_25,False,sMN,False
MSA_26,False,sMN,False
MSA_27,False,sMN,False
MSA_28,False,sMN,False
MSA_29,True,sMN,False
MSA_30,False,sMN,False
MSA_31,False,sMN,False
MSA_32,False,sMN,False
MSA_33,False,sMN,False
MSA_34,False,sMN,False
MSA_35,False,sMN,False
MSA_36,False,sMN,False
MSA_37,False,sMN,False
